Participants,addr_decision,address_decision,addrinfo_decision,age_decision,api_key_decision,browserhistory_decision,driver_decision,email_decision,employees_decision,face_decision,face_locations_decision,gdf_mask_decision,gmap3_decision,his_decision,input_ips_decision,institution_decision,known_face_encodings_decision,latitude_decision,locs_decision,long_decision,m3u8_url_decision,mdy_decision,MP4ASampleEntryBox_decision,name_decision,new_empID_decision,online_bank_statement_provider_decision,password_decision,PAYMENT_TOKEN_decision,paypal_mapping_id_decision,pings_decision,profile_decision,sender_decision,session_cookie_structure_decision,session_cookie_value_decision,skill_decision,stream_decision,tax_decision,transaction_id_decision,username_decision,yrmtdy_decision,Attention Check_decision,Major,Programming Years,Year Birth,Gender,Language
P1,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1995,Female,3 to 4
P2,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1984,Male,5 to 6
P3,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1992,Non-binary,More than 8
P4,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1999,Male,3 to 4
P5,Less Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1997,Male,3 to 4
P6,Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Male,5 to 6
P7,Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,1984,Male,More than 8
P8,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1999,Non-binary,3 to 4
P9,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Female,5 to 6
P10,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1999,Male,3 to 4
P11,Highly Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1998,Male,3 to 4
P12,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Male,3 to 4
P13,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1999,Male,3 to 4
P14,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,1999,Male,More than 8
P15,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1981,Female,5 to 6
P16,Highly Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1994,Male,3 to 4
P17,Less Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2004,Male,1 to 2
P18,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1987,Female,5 to 6
P19,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,1998,Female,1 to 2
P20,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,1999,Female,None
P21,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2004,Male,1 to 2
P22,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,1996,Female,1 to 2
P23,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2003,Male,3 to 4
P24,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1992,Female,1 to 2
P25,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,1997,Female,None
P26,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2001,Male,1 to 2
P27,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1993,Male,More than 8
P28,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1997,Male,1 to 2
P29,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,1985,Male,1 to 2
P30,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,Less than 1 year,1999,Male,1 to 2
P31,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1997,Male,3 to 4
P32,Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,2001,Male,1 to 2
