Participants,addr_decision,address_decision,addrinfo_decision,age_decision,api_key_decision,browserhistory_decision,driver_decision,email_decision,employees_decision,face_decision,face_locations_decision,gdf_mask_decision,gmap3_decision,his_decision,input_ips_decision,institution_decision,known_face_encodings_decision,latitude_decision,locs_decision,long_decision,m3u8_url_decision,mdy_decision,MP4ASampleEntryBox_decision,name_decision,new_empID_decision,online_bank_statement_provider_decision,password_decision,PAYMENT_TOKEN_decision,paypal_mapping_id_decision,pings_decision,profile_decision,sender_decision,session_cookie_structure_decision,session_cookie_value_decision,skill_decision,stream_decision,tax_decision,transaction_id_decision,username_decision,yrmtdy_decision,Attention Check_decision,Major,Programming Years,Year Birth,Gender,Language
P33,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,2002,Female,None
P34,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2001,Non-binary,5 to 6
P35,Less Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1987,Male,5 to 6
P36,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,I am in another profession or major. Please specify:,None,2003,Female,None
P37,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1985,Male,1 to 2
P38,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2002,Male,1 to 2
P39,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2002,Male,3 to 4
P40,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1994,Male,1 to 2
P41,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2003,Male,3 to 4
P42,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1998,Male,5 to 6
P43,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2003,Male,3 to 4
P44,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1991,Prefer to self describe:,1 to 2
P45,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2004,Male,3 to 4
P46,Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1964,Female,3 to 4
P47,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,1999,Female,None
P48,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,1 - 3 years,1970,Male,1 to 2
P49,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2002,Male,1 to 2
P50,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2002,Female,3 to 4
P51,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2001,Non-binary,7 to 8
P52,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1982,Male,3 to 4
P53,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,1 - 3 years,1998,Male,3 to 4
P54,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1973,Male,3 to 4
P55,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1973,Male,3 to 4
P56,Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2001,Female,3 to 4
P57,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,I am in another profession or major. Please specify:,None,1967,Female,None
P58,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1979,Male,3 to 4
P59,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1996,Female,3 to 4
P60,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,I am in another profession or major. Please specify:,Less than 1 year,1994,Female,1 to 2
P61,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2001,Female,3 to 4
P62,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1990,Male,3 to 4
P63,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1998,Male,3 to 4
P64,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1992,Female,7 to 8
P65,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,2001,Female,None
