Participants,addr_decision,address_decision,addrinfo_decision,age_decision,api_key_decision,browserhistory_decision,driver_decision,email_decision,employees_decision,face_decision,face_locations_decision,gdf_mask_decision,gmap3_decision,his_decision,input_ips_decision,institution_decision,known_face_encodings_decision,latitude_decision,locs_decision,long_decision,m3u8_url_decision,mdy_decision,MP4ASampleEntryBox_decision,name_decision,new_empID_decision,online_bank_statement_provider_decision,password_decision,PAYMENT_TOKEN_decision,paypal_mapping_id_decision,pings_decision,profile_decision,sender_decision,session_cookie_structure_decision,session_cookie_value_decision,skill_decision,stream_decision,tax_decision,transaction_id_decision,username_decision,yrmtdy_decision,Attention Check_decision,Major,Programming Years,Year Birth,Gender,Language
P66,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2003,Male,3 to 4
P67,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,1986,Female,1 to 2
P68,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2002,Male,3 to 4
P69,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,Less than 1 year,1997,Female,1 to 2
P70,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1988,Male,5 to 6
P71,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1997,Male,3 to 4
P72,Less Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,Less than 1 year,1997,Male,1 to 2
P73,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2000,Male,3 to 4
P74,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,2001,Male,5 to 6
P75,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1999,Female,3 to 4
P76,Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Male,5 to 6
P77,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1982,Male,3 to 4
P78,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,I am in a Legal or Policy-related profession or major.,None,1997,Female,None
P79,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,2001,Non-binary,5 to 6
P80,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1994,Male,3 to 4
P81,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1999,Male,3 to 4
P82,Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1988,Male,1 to 2
P83,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,2001,Prefer not to say,5 to 6
P84,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,I am in another profession or major. Please specify:,1 - 3 years,1994,Female,1 to 2
P85,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,1994,Female,5 to 6
P86,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Not Sensitive,I am in a Computer Science-related profession or major.,Less than 1 year,2000,Male,1 to 2
P87,Not Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1996,Female,1 to 2
P88,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1997,Male,3 to 4
P89,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1997,Male,3 to 4
P90,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1998,Male,1 to 2
P91,Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,1998,Male,3 to 4
P92,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,1997,Male,3 to 4
P93,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,I am in a Computer Science-related profession or major.,1 - 3 years,2000,Male,3 to 4
P94,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Less Sensitive,Not Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Male,5 to 6
P95,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2001,Male,3 to 4
P96,Sensitive,Sensitive,Not Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Less Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Less Sensitive,Less Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,1997,Male,5 to 6
P97,Sensitive,Sensitive,Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Sensitive,Not Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,Not Sensitive,Not Sensitive,Highly Sensitive,Sensitive,Sensitive,Sensitive,Sensitive,I am in a Computer Science-related profession or major.,More than 10 years,1993,Male,More than 8
P98,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Sensitive,Less Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,7 - 10 years,1996,Female,5 to 6
P99,Highly Sensitive,Highly Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Less Sensitive,Less Sensitive,Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Highly Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Not Sensitive,Sensitive,Not Sensitive,Highly Sensitive,Highly Sensitive,Highly Sensitive,Less Sensitive,Sensitive,Not Sensitive,Sensitive,Sensitive,Highly Sensitive,Less Sensitive,Less Sensitive,Not Sensitive,Not Sensitive,Less Sensitive,Highly Sensitive,Sensitive,I am in a Computer Science-related profession or major.,4 - 6 years,2000,Male,5 to 6
